"Geographic code","Geographic name, english","Geographic name, french","Geographic type, english","Geographic type, french","Province / territory, english","Province / territory, french","Geographic code, Province / territory","Additional province code","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2011","2011 adjusted population flag","Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, % change","Total private dwellings, 2016","Total private dwellings, 2011","2011 adjusted total private dwellings flag","Total private dwellings, % change","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2011","2011 adjusted private dwellings occupied by usual residents flag","Private dwellings occupied by usual residents, % change","Land area in square kilometres, 2016","Population density per square kilometre, 2016","National population rank, 2016","Provincial/territorial population rank, 2016"
"320","Fredericton","Fredericton","Census agglomeration (CA)","Agglomération de recensement (AR)","New Brunswick","Nouveau-Brunswick",13,,101760,F,98320,T,F,3.5,46459,43671,T,6.4,42772,40676,T,5.2,5745.41,17.7,39,3
"328","Bathurst","Bathurst","Census agglomeration (CA)","Agglomération de recensement (AR)","New Brunswick","Nouveau-Brunswick",13,,31110,F,31936,T,F,-2.6,15385,15145,T,1.6,13970,13832,T,1.0,2104.04,14.8,88,4
"329","Miramichi","Miramichi","Census agglomeration (CA)","Agglomération de recensement (AR)","New Brunswick","Nouveau-Brunswick",13,,27523,F,28115,F,F,-2.1,13019,12823,F,1.5,11940,11765,F,1.5,7578.93,3.6,99,5
"330","Campbellton","Campbellton","Census agglomeration (CA)","Agglomération de recensement (AR)","New Brunswick/Quebec","Nouveau-Brunswick/Québec",13,24,15746,F,17361,T,F,-9.3,7636,8031,T,-4.9,7089,7435,T,-4.7,1590.70,9.9,127,
"13330","Campbellton (New Brunswick part)","Campbellton (partie du Nouveau-Brunswick)","Census agglomeration (CA) – provincial part","Agglomération de recensement (AR) – partie provinciale","New Brunswick","Nouveau-Brunswick",13,24,13114,F,14039,T,F,-6.6,6308,6595,T,-4.4,5857,6081,T,-3.7,1155.48,11.3,,7
"24330","Campbellton (Quebec part)","Campbellton (partie du Québec)","Census agglomeration (CA) – provincial part","Agglomération de recensement (AR) – partie provinciale","Quebec","Québec",13,13,2632,F,3322,F,F,-20.8,1328,1436,F,-7.5,1232,1354,F,-9.0,435.22,6.0,,29
"335","Edmundston","Edmundston","Census agglomeration (CA)","Agglomération de recensement (AR)","New Brunswick","Nouveau-Brunswick",13,,23524,F,23819,T,F,-1.2,11255,11236,T,0.2,10532,10490,T,0.4,1769.64,13.3,104,6
"403","Matane","Matane","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,17926,F,18368,F,F,-2.4,9583,9469,F,1.2,8575,8636,F,-0.7,663.37,27.0,118,24
"404","Rimouski","Rimouski","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,55349,F,53711,T,F,3.0,27779,26256,T,5.8,25458,24198,T,5.2,896.27,61.8,59,10
"405","Rivière-du-Loup","Rivière-du-Loup","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,28902,F,28987,T,F,-0.3,14010,13791,T,1.6,12907,12640,T,2.1,544.25,53.1,91,20
"406","Baie-Comeau","Baie-Comeau","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,27692,F,28465,T,F,-2.7,13146,13132,T,0.1,12366,12368,T,0.0,691.02,40.1,98,23
"408","Saguenay","Saguenay","Census metropolitan area (CMA)","Région métropolitaine de recensement (RMR)","Quebec","Québec",24,,160980,F,158658,T,F,1.5,77968,74197,T,5.1,72479,69861,T,3.7,2759.75,58.3,26,5
"410","Alma","Alma","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,32849,F,33018,F,F,-0.5,15155,14721,F,2.9,14467,14126,F,2.4,341.54,96.2,81,18
"411","Dolbeau-Mistassini","Dolbeau-Mistassini","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,15673,F,15826,T,F,-1.0,7443,7503,T,-0.8,6865,6920,T,-0.8,718.15,21.8,129,25
"412","Sept-Îles","Sept-Îles","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,28534,F,28487,F,F,0.2,13623,12912,F,5.5,12275,12073,F,1.7,1770.60,16.1,93,21
"421","Québec","Québec","Census metropolitan area (CMA)","Région métropolitaine de recensement (RMR)","Quebec","Québec",24,,800296,F,767310,T,T,4.3,382308,362231,T,5.5,361891,346578,T,4.4,3408.70,234.8,7,2
"423","Sainte-Marie","Sainte-Marie","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,13565,F,12889,T,F,5.2,5857,5654,T,3.6,5651,5512,T,2.5,107.57,126.1,140,27
"428","Saint-Georges","Saint-Georges","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,32513,F,31173,T,F,4.3,15022,14735,T,1.9,14592,13887,T,5.1,199.27,163.2,82,19
"430","Thetford Mines","Thetford Mines","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,28448,F,28927,T,F,-1.7,14449,14264,T,1.3,13349,13276,T,0.5,516.04,55.1,94,22
"433","Sherbrooke","Sherbrooke","Census metropolitan area (CMA)","Région métropolitaine de recensement (RMR)","Quebec","Québec",24,,212105,F,202261,T,F,4.9,106082,100123,T,6.0,95577,91252,T,4.7,1459.58,145.3,19,4
"437","Cowansville","Cowansville","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,13656,F,12489,F,F,9.3,6272,5789,F,8.3,5992,5510,F,8.7,46.89,291.2,137,26
"440","Victoriaville","Victoriaville","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,49151,F,46354,F,F,6.0,22553,21165,F,6.6,21798,20480,F,6.4,153.23,320.8,63,13
"442","Trois-Rivières","Trois-Rivières","Census metropolitan area (CMA)","Région métropolitaine de recensement (RMR)","Quebec","Québec",24,,156042,F,151773,F,F,2.8,77734,74837,F,3.9,72502,70138,F,3.4,1040.52,150.0,27,6
"444","Shawinigan","Shawinigan","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,54181,F,54489,T,F,-0.6,29070,28223,T,3.0,26336,25956,T,1.5,843.38,64.2,60,11
"447","Drummondville","Drummondville","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,96118,F,91222,T,F,5.4,44167,41945,T,5.3,42272,39922,T,5.9,1016.64,94.5,44,7
"450","Granby","Granby","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,85056,F,80863,T,F,5.2,40131,37273,T,7.7,37773,35245,T,7.2,494.40,172.0,46,8
"452","Saint-Hyacinthe","Saint-Hyacinthe","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,59614,F,56794,F,F,5.0,28605,27206,F,5.1,27003,25880,F,4.3,328.53,181.5,57,9
"454","Sorel-Tracy","Sorel-Tracy","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,41629,F,41520,T,F,0.3,20856,20199,T,3.3,19657,19219,T,2.3,172.63,241.1,71,15
"456","Joliette","Joliette","Census agglomeration (CA)","Agglomération de recensement (AR)","Quebec","Québec",24,,49439,F,46932,F,F,5.3,23392,22225,F,5.3,22478,21426,F,4.9,108.80,454.4,62,12
